,assists,blocked,evenTimeOnIce_s,faceOffWins,faceoffTaken,giveaways,goals,hits,penaltyMinutes_s,plusMinus,powerPlayAssists,powerPlayGoals,powerPlayTimeOnIce_s,shortHandedAssists,shortHandedGoals,shortHandedTimeOnIce_s,shots,takeaways,timeOnIce_s,games_played,position
8475153,0.204545454545,1.25,827.954545455,0.0,0.0,0.340909090909,0.0681818181818,2.63636363636,10.9090909091,-0.0681818181818,0.0227272727273,0.0,11.1590909091,0.0,0.0,87.0909090909,1.36363636364,0.409090909091,926.204545455,44.0,Defenseman
8475179,0.135802469136,1.13580246914,1049.67901235,0.0,0.0,0.58024691358,0.0987654320988,1.54320987654,48.8888888889,-0.320987654321,0.037037037037,0.0246913580247,143.444444444,0.0,0.0123456790123,108.469135802,1.56790123457,0.358024691358,1301.59259259,81.0,Defenseman
8474625,0.127272727273,0.345454545455,583.709090909,0.2,0.545454545455,0.0909090909091,0.2,2.09090909091,19.6363636364,-0.0909090909091,0.0181818181818,0.0545454545455,74.0727272727,0.0,0.0,0.254545454545,1.30909090909,0.254545454545,658.036363636,55.0,Right Wing
8470039,0.25,0.1375,808.0875,0.0625,0.225,0.325,0.1,0.7375,16.5,-0.225,0.0625,0.025,155.4625,0.0125,0.0,63.6875,2.35,0.375,1027.2375,80.0,Left Wing
8474498,0.173076923077,0.403846153846,628.634615385,1.21153846154,2.5,0.173076923077,0.173076923077,1.25,43.8461538462,-0.0384615384615,0.0,0.0192307692308,20.9038461538,0.0,0.0,114.692307692,1.92307692308,0.173076923077,764.230769231,52.0,Center
8470105,0.289473684211,0.328947368421,786.723684211,0.421052631579,0.934210526316,0.197368421053,0.197368421053,1.76315789474,57.6315789474,0.0131578947368,0.0657894736842,0.0131578947368,94.6578947368,0.0,0.0131578947368,73.9342105263,2.11842105263,0.460526315789,955.315789474,76.0,Right Wing
8470176,0.209677419355,0.290322580645,828.580645161,0.0322580645161,0.0645161290323,0.258064516129,0.258064516129,1.79032258065,38.7096774194,-0.258064516129,0.0161290322581,0.0483870967742,139.758064516,0.0,0.0,22.0,3.06451612903,0.435483870968,990.338709677,62.0,Left Wing
8467428,0.0727272727273,0.109090909091,357.181818182,0.0181818181818,0.0181818181818,0.0363636363636,0.0,1.16363636364,108.0,-0.181818181818,0.0,0.0,0.690909090909,0.0,0.0,0.763636363636,0.345454545455,0.0727272727273,358.636363636,55.0,Right Wing
8467351,0.217391304348,0.347826086957,704.52173913,5.19565217391,11.1956521739,0.326086956522,0.0434782608696,0.347826086957,31.3043478261,-0.239130434783,0.0434782608696,0.0,81.2826086957,0.0,0.0,2.10869565217,1.21739130435,0.434782608696,787.913043478,46.0,Center
8468504,0.192307692308,0.448717948718,856.064102564,0.474358974359,0.884615384615,0.371794871795,0.269230769231,0.589743589744,21.5384615385,-0.0769230769231,0.0128205128205,0.025641025641,148.243589744,0.0,0.0128205128205,18.3333333333,2.25641025641,0.487179487179,1022.64102564,78.0,Right Wing
8475760,0.289473684211,0.302631578947,823.828947368,7.22368421053,14.7763157895,0.368421052632,0.210526315789,1.53947368421,12.6315789474,-0.184210526316,0.0394736842105,0.0,128.526315789,0.0131578947368,0.0131578947368,20.7894736842,2.43421052632,0.486842105263,973.144736842,76.0,Center
8475769,0.125,0.6875,706.5,0.125,0.5,0.0,0.25,2.0,37.5,0.0,0.0,0.0,3.25,0.0,0.0625,113.375,1.4375,0.5625,823.125,16.0,Center
8475790,0.0923076923077,1.4,910.8,0.0,0.0,0.292307692308,0.0461538461538,2.43076923077,105.230769231,-0.107692307692,0.0153846153846,0.0,51.5230769231,0.0,0.0,116.538461538,1.41538461538,0.215384615385,1078.86153846,65.0,Defenseman
8474606,0.125,1.1875,950.625,0.0,0.0,0.25,0.0,1.0625,22.5,-0.25,0.0,0.0,26.6875,0.0625,0.0,137.0625,0.9375,0.25,1114.375,16.0,Defenseman
8466285,0.365853658537,1.31707317073,1266.68292683,0.0,0.0121951219512,0.548780487805,0.0853658536585,0.609756097561,14.6341463415,-0.0731707317073,0.121951219512,0.0243902439024,233.93902439,0.0243902439024,0.0,116.841463415,1.41463414634,0.524390243902,1617.46341463,82.0,Defenseman
8460492,0.108108108108,1.13513513514,755.648648649,0.0,0.0,0.324324324324,0.027027027027,0.918918918919,63.2432432432,-0.162162162162,0.027027027027,0.0,98.2432432432,0.027027027027,0.0,116.297297297,1.18918918919,0.216216216216,970.189189189,37.0,Defenseman
8476389,0.15,0.55,842.9,8.3,17.4,0.4,0.25,1.95,18.0,-0.55,0.0,0.05,153.35,0.0,0.05,136.95,1.9,0.65,1133.2,20.0,Center
8475204,0.244897959184,0.30612244898,689.93877551,4.16326530612,9.26530612245,0.142857142857,0.265306122449,0.489795918367,9.79591836735,0.122448979592,0.0612244897959,0.0612244897959,88.6326530612,0.0,0.0,0.0,1.63265306122,0.326530612245,778.571428571,49.0,Center
8468114,0.0377358490566,2.16981132075,689.283018868,0.0,0.0,0.320754716981,0.0,2.71698113208,47.5471698113,-0.22641509434,0.0,0.0,0.471698113208,0.0,0.0,171.339622642,0.490566037736,0.0943396226415,861.094339623,53.0,Defenseman
8475848,0.271604938272,0.444444444444,806.716049383,0.58024691358,1.58024691358,0.271604938272,0.234567901235,0.469135802469,54.0740740741,0.0493827160494,0.0123456790123,0.0987654320988,146.333333333,0.0,0.0,4.81481481481,2.6049382716,0.506172839506,957.864197531,81.0,Right Wing
8468095,0.0454545454545,0.227272727273,268.363636364,0.0,0.0,0.0909090909091,0.0,0.636363636364,231.818181818,-0.272727272727,0.0,0.0,4.63636363636,0.0,0.0,0.0,0.181818181818,0.0,273.0,22.0,Right Wing
8471504,0.111111111111,0.238095238095,776.333333333,0.0634920634921,0.126984126984,0.142857142857,0.142857142857,1.42857142857,30.4761904762,-0.015873015873,0.015873015873,0.047619047619,71.9841269841,0.0,0.0,2.68253968254,1.87301587302,0.206349206349,851.0,63.0,Right Wing
8470598,0.525641025641,0.217948717949,921.487179487,0.25641025641,0.589743589744,0.641025641026,0.346153846154,0.384615384615,35.3846153846,0.0897435897436,0.128205128205,0.102564102564,237.615384615,0.0,0.0,1.96153846154,3.17948717949,0.397435897436,1161.06410256,78.0,Left Wing
8467407,0.271604938272,0.641975308642,889.037037037,0.283950617284,0.740740740741,0.259259259259,0.222222222222,0.567901234568,16.2962962963,0.0123456790123,0.0617283950617,0.0246913580247,85.3950617284,0.0123456790123,0.0,96.3209876543,2.27160493827,0.469135802469,1070.75308642,81.0,Right Wing
8476851,0.276923076923,0.384615384615,740.384615385,0.0769230769231,0.230769230769,0.353846153846,0.2,0.753846153846,24.0,-0.184615384615,0.107692307692,0.0461538461538,122.153846154,0.0,0.0,1.16923076923,1.69230769231,0.461538461538,863.707692308,65.0,Center
8468478,0.166666666667,1.77777777778,925.805555556,0.0138888888889,0.0138888888889,0.319444444444,0.0138888888889,1.68055555556,25.8333333333,0.0,0.0,0.0,6.40277777778,0.0,0.0,176.722222222,0.736111111111,0.208333333333,1108.93055556,72.0,Defenseman
8464975,0.173913043478,0.159420289855,665.550724638,2.47826086957,5.07246376812,0.246376811594,0.188405797101,0.333333333333,26.0869565217,0.0144927536232,0.0289855072464,0.0579710144928,99.5942028986,0.0,0.0,0.95652173913,1.71014492754,0.31884057971,766.101449275,69.0,Center
8475739,0.116666666667,0.7,564.616666667,0.466666666667,1.01666666667,0.166666666667,0.116666666667,1.11666666667,18.0,-0.1,0.0333333333333,0.0166666666667,15.6833333333,0.0,0.0,38.8166666667,1.3,0.25,619.116666667,60.0,Left Wing
8471976,0.455696202532,0.443037974684,862.772151899,7.73417721519,15.2151898734,0.278481012658,0.20253164557,0.291139240506,18.2278481013,0.139240506329,0.151898734177,0.0379746835443,161.379746835,0.0,0.0,7.91139240506,1.21518987342,0.430379746835,1032.06329114,79.0,Center
8473466,0.0769230769231,0.711538461538,471.076923077,3.78846153846,7.46153846154,0.134615384615,0.0384615384615,1.69230769231,57.6923076923,-0.153846153846,0.0,0.0,3.40384615385,0.0,0.0,106.846153846,0.980769230769,0.192307692308,581.326923077,52.0,Center
8465914,0.0769230769231,1.34615384615,955.269230769,0.0,0.0,0.519230769231,0.0384615384615,1.53846153846,39.2307692308,-0.0961538461538,0.0192307692308,0.0,75.8076923077,0.0,0.0,30.1346153846,0.653846153846,0.134615384615,1061.21153846,52.0,Defenseman
